央视频道,#genre#
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083
重庆卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000083

安徽频道,#genre#
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039
安徽卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000039
安徽公共,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000009
安徽公共,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000009
安徽经济生活,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000005
安徽经济生活,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000005
安徽影视,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000007
安徽影视,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000007
安徽农业·科教,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000013
安徽农业·科教,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000013
安徽综艺·体育,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000011
安徽综艺·体育,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000011
安徽国际,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000015
安徽国际,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000015
滁州新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000081
滁州新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000081
滁州公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000083
滁州公共,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000083
滁州科教,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000085
滁州科教,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000085
亳州综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000075
亳州农村,http://10.49.6.247:8112/AHBKLIVE/11111120210408000000000000000033
蚌埠新闻,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000077
宿州科教,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000097
蚌埠生活,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000079
宿州新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000099
安庆新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000111
安庆经济生活,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000109
淮南新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000105
淮北新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000119
淮北经济生活,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000121
六安综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000125
六安社会生活,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000123
池州新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000089
池州文教生活,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000087
黄山新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000117
黄山文旅,http://10.49.6.247:8112/AHBKLIVE/11111120210510000000000000000115
马鞍山新闻综合,http://10.49.6.247:8112/AHBKLIVE/11111120211018000000000000000015
马鞍山科教生活,http://10.49.6.247:8112/AHBKLIVE/11111120211027000000000000000001

数字频道,#genre#
CCTV-兵器科技,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000053
CCTV-兵器科技,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000053
CCTV-第一剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000039
CCTV-第一剧场,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000039
CCTV-风云剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000041
CCTV-风云剧场,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000041
CCTV-风云音乐,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000037
CCTV-风云音乐,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000037
CCTV-风云足球,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000051
CCTV-风云足球,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000051
CCTV-高尔夫·网球,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000049
CCTV-高尔夫·网球,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000049
CCTV-怀旧剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000043
CCTV-怀旧剧场,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000043
CCTV-女性时尚,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000055
CCTV-女性时尚,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000055
CCTV-央视台球,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000047
CCTV-央视台球,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000047
